date,SPY,WMT,JPM
1971-11-08,,,-0.004728
1971-11-09,,,0.019002
1971-11-10,,,-0.004662
1971-11-11,,,-0.009368
1971-11-12,,,0.01182
1971-11-15,,,-0.014019
1971-11-16,,,0.021327
1971-11-17,,,-0.011601
1971-11-18,,,0.0
1971-11-19,,,-0.014085
1971-11-22,,,0.0
1971-11-23,,,-0.016667
1971-11-24,,,0.019371
1971-11-26,,,-0.002375
1971-11-29,,,0.009524
1971-11-30,,,0.007075
1971-12-01,,,-0.009368
1971-12-02,,,0.007092
1971-12-03,,,0.00939
1971-12-06,,,0.004651
1971-12-07,,,0.018519
1971-12-08,,,-0.002273
1971-12-09,,,0.004009
1971-12-10,,,0.0
1971-12-13,,,0.006897
1971-12-14,,,-0.004566
1971-12-15,,,-0.002294
1971-12-16,,,0.016092
1971-12-17,,,0.0
1971-12-20,,,0.011312
1971-12-21,,,0.013423
1971-12-22,,,-0.013245
1971-12-23,,,0.006711
1971-12-27,,,0.0
1971-12-28,,,-0.008889
1971-12-29,,,0.011211
1971-12-30,,,-0.033259
1971-12-31,,,0.03211
1972-01-03,,,-0.002222
1972-01-04,,,0.002227
1972-01-05,,,0.0
1972-01-06,,,0.002222
1972-01-07,,,0.004435
1972-01-10,,,0.01766
1972-01-11,,,0.023861
1972-01-12,,,-0.006356
1972-01-13,,,0.002132
1972-01-14,,,-0.010638
1972-01-17,,,-0.002151
1972-01-18,,,-0.00431
1972-01-19,,,-0.002165
1972-01-20,,,-0.002169
1972-01-21,,,-0.002174
1972-01-24,,,-0.004357
1972-01-25,,,-0.008753
1972-01-26,,,-0.006623
1972-01-27,,,0.004444
1972-01-28,,,0.0
1972-01-31,,,-0.004425
1972-02-01,,,0.0
1972-02-02,,,-0.022222
1972-02-03,,,0.006818
1972-02-04,,,0.020316
1972-02-07,,,0.0
1972-02-08,,,-0.002212
1972-02-09,,,-0.006652
1972-02-10,,,0.0
1972-02-11,,,0.0
1972-02-14,,,-0.008929
1972-02-15,,,-0.011261
1972-02-16,,,-0.009112
1972-02-17,,,-0.02069
1972-02-18,,,-0.007042
1972-02-22,,,-0.002364
1972-02-23,,,-0.009479
1972-02-24,,,0.007177
1972-02-25,,,0.019002
1972-02-28,,,0.011655
1972-02-29,,,-0.004608
1972-03-01,,,0.00463
1972-03-02,,,0.004608
1972-03-03,,,0.009174
1972-03-06,,,0.006818
1972-03-07,,,0.002257
1972-03-08,,,0.0
1972-03-09,,,0.021982
1972-03-10,,,-0.002232
1972-03-13,,,0.004474
1972-03-14,,,0.004454
1972-03-15,,,0.013304
1972-03-16,,,0.004376
1972-03-17,,,0.002179
1972-03-20,,,0.023913
1972-03-21,,,-0.004246
1972-03-22,,,-0.021322
1972-03-23,,,0.010893
1972-03-24,,,0.006466
1972-03-27,,,0.006424
1972-03-28,,,-0.004255
1972-03-29,,,-0.004274
1972-03-30,,,0.004292
1972-04-03,,,-0.008547
1972-04-04,,,-0.002155
1972-04-05,,,-0.023758
1972-04-06,,,0.00885
1972-04-07,,,0.006579
1972-04-10,,,0.002179
1972-04-11,,,0.002174
1972-04-12,,,0.004338
1972-04-13,,,0.0
1972-04-14,,,-0.00216
1972-04-17,,,-0.004329
1972-04-18,,,0.0
1972-04-19,,,0.0
1972-04-20,,,-0.006522
1972-04-21,,,0.008753
1972-04-24,,,-0.004338
1972-04-25,,,-0.002179
1972-04-26,,,0.0
1972-04-27,,,-0.004367
1972-04-28,,,0.0
1972-05-01,,,-0.004386
1972-05-02,,,0.002203
1972-05-03,,,-0.006593
1972-05-04,,,-0.006637
1972-05-05,,,0.006682
1972-05-08,,,-0.006637
1972-05-09,,,-0.011136
1972-05-10,,,-0.015766
1972-05-11,,,0.002288
1972-05-12,,,0.0
1972-05-15,,,-0.002283
1972-05-16,,,0.0
1972-05-17,,,-0.004577
1972-05-18,,,-0.006897
1972-05-19,,,-0.009259
1972-05-22,,,0.007009
1972-05-23,,,-0.00232
1972-05-24,,,-0.002326
1972-05-25,,,-0.011655
1972-05-26,,,0.018868
1972-05-30,,,-0.002315
1972-05-31,,,0.00464
1972-06-01,,,-0.011547
1972-06-02,,,0.0
1972-06-05,,,-0.002336
1972-06-06,,,-0.002342
1972-06-07,,,-0.00939
1972-06-08,,,0.011848
1972-06-09,,,0.00178
1972-06-12,,,-0.009479
1972-06-13,,,-0.007177
1972-06-14,,,-0.007229
1972-06-15,,,0.014563
1972-06-16,,,-0.009569
1972-06-19,,,-0.028986
1972-06-20,,,0.0
1972-06-21,,,0.004975
1972-06-22,,,0.00495
1972-06-23,,,0.004926
1972-06-26,,,-0.019608
1972-06-27,,,-0.0025
1972-06-28,,,0.0
1972-06-29,,,-0.015038
1972-06-30,,,0.007634
1972-07-03,,,-0.002525
1972-07-05,,,0.002532
1972-07-06,,,0.007576
1972-07-07,,,-0.002506
1972-07-10,,,-0.005025
1972-07-11,,,-0.002525
1972-07-12,,,0.002532
1972-07-13,,,0.0
1972-07-14,,,-0.002525
1972-07-17,,,-0.005063
1972-07-18,,,0.0
1972-07-19,,,0.005089
1972-07-20,,,0.007595
1972-07-21,,,0.01005
1972-07-24,,,-0.00995
1972-07-25,,,-0.005025
1972-07-26,,,0.0
1972-07-27,,,-0.012626
1972-07-28,,,-0.002558
1972-07-31,,,-0.015385
1972-08-01,,,0.015625
1972-08-02,,,-0.015385
1972-08-03,,,-0.005208
1972-08-04,,,0.020942
1972-08-07,,,0.005128
1972-08-08,,,0.002551
1972-08-09,,,-0.002545
1972-08-10,,,-0.005102
1972-08-11,,,0.0
1972-08-14,,,0.002564
1972-08-15,,,0.002558
1972-08-16,,,-0.002551
1972-08-17,,,0.030691
1972-08-18,,,0.007444
1972-08-21,,,0.029557
1972-08-22,,,0.0
1972-08-23,,,0.016746
1972-08-24,,,0.004706
1972-08-25,,,0.025761
1972-08-28,,,-0.004566
1972-08-29,,,-0.004587
1972-08-30,,,0.023042
1972-08-31,,,0.0
1972-09-01,,,0.004505
1972-09-05,,,-0.002242
1972-09-06,,,-0.002247
1972-09-07,,,0.0
1972-09-08,,,-0.018018
1972-09-11,,,-0.002844
1972-09-12,,,-0.018648
1972-09-13,,,0.004751
1972-09-14,,,-0.007092
1972-09-15,,,-0.019048
1972-09-18,,,0.0
1972-09-19,,,-0.009709
1972-09-20,,,0.002451
1972-09-21,,,-0.00489
1972-09-22,,,0.002457
1972-09-25,,,0.002451
1972-09-26,,,0.017115
1972-09-27,,,-0.004808
1972-09-28,,,-0.019324
1972-09-29,,,0.009852
1972-10-02,,,0.0
1972-10-03,,,-0.002439
1972-10-04,,,0.01467
1972-10-05,,,0.00241
1972-10-06,,,0.026442
1972-10-09,,,0.009368
1972-10-10,,,0.00464
1972-10-11,,,-0.009238
1972-10-12,,,-0.006993
1972-10-13,,,-0.014085
1972-10-16,,,0.0
1972-10-17,,,0.002381
1972-10-18,,,-0.004751
1972-10-19,,,0.0
1972-10-20,,,0.0
1972-10-23,,,0.011933
1972-10-24,,,-0.004717
1972-10-25,,,-0.009479
1972-10-26,,,0.007177
1972-10-27,,,-0.016627
1972-10-30,,,0.0
1972-10-31,,,0.014493
1972-11-01,,,0.019048
1972-11-02,,,0.004673
1972-11-03,,,-0.013954
1972-11-06,,,-0.004717
1972-11-08,,,-0.014218
1972-11-09,,,-0.007212
1972-11-10,,,0.002421
1972-11-13,,,0.009662
1972-11-14,,,0.009569
1972-11-15,,,-0.004739
1972-11-16,,,0.007143
1972-11-17,,,0.014184
1972-11-20,,,-0.009324
1972-11-21,,0.022388,0.0
1972-11-22,,0.0,0.009412
1972-11-24,,-0.00365,0.0
1972-11-27,,0.025641,0.006993
1972-11-28,,-0.028571,0.0
1972-11-29,,-0.044118,-0.013889
1972-11-30,,-0.007692,0.004695
1972-12-01,,0.015504,0.0
1972-12-04,,0.038168,-0.028037
1972-12-05,,0.014706,0.004808
1972-12-06,,0.0,-0.002392
1972-12-07,,-0.007246,0.01199
1972-12-08,,-0.014599,0.0
1972-12-11,,0.011111,-0.000569
1972-12-12,,-0.010989,-0.009615
1972-12-13,,0.007407,-0.012136
1972-12-14,,0.003676,-0.004914
1972-12-15,,0.007326,0.017284
1972-12-18,,-0.003636,0.0
1972-12-19,,0.00365,0.0
1972-12-20,,0.003636,-0.031553
1972-12-21,,-0.007246,-0.005013
1972-12-22,,0.007299,0.02267
