date,P,D
1987-12-23,3.5,0.0
1987-12-24,3.625,0.0
1987-12-28,3.3125,0.0
1987-12-29,3.75,0.0
1987-12-30,4.125,0.0
1987-12-31,3.625,0.0
1988-01-04,3.5,0.0
1988-01-05,3.625,0.0
1988-01-06,3.75,0.0
1988-01-07,3.75,0.0
1988-01-08,3.875,0.0
1988-01-11,3.75,0.0
1988-01-12,3.75,0.0
1988-01-13,3.75,0.0
1988-01-14,3.875,0.0
1988-01-15,4.0,0.0
1988-01-18,4.0,0.0
1988-01-19,4.125,0.0
1988-01-20,3.875,0.0
1988-01-21,3.875,0.0
1988-01-22,4.375,0.0
1988-01-25,4.125,0.0
1988-01-26,4.25,0.0
1988-01-27,4.5,0.0
1988-01-28,4.875,0.0
1988-01-29,4.625,0.0
1988-02-01,4.625,0.0
1988-02-02,4.625,0.0
1988-02-03,4.5,0.0
1988-02-04,4.5625,0.0
1988-02-05,4.75,0.0
1988-02-08,4.625,0.0
1988-02-09,4.75,0.0
1988-02-10,4.875,0.0
1988-02-11,4.9375,0.0
1988-02-12,4.875,0.0
1988-02-16,4.75,0.0
1988-02-17,4.75,0.0
1988-02-18,4.75,0.0
1988-02-19,4.5,0.0
1988-02-22,4.25,0.0
1988-02-23,4.5,0.0
1988-02-24,4.5,0.0
1988-02-25,4.625,0.0
1988-02-26,4.6875,0.0
1988-02-29,4.625,0.0
1988-03-01,4.625,0.0
1988-03-02,4.375,0.0
1988-03-03,4.375,0.0
1988-03-04,4.375,0.0
1988-03-07,4.375,0.0
1988-03-08,4.375,0.0
1988-03-09,4.375,0.0
1988-03-10,4.375,0.0
1988-03-11,4.25,0.0
1988-03-14,4.5,0.0
1988-03-15,4.0,0.0
1988-03-16,4.5,0.0
1988-03-17,4.875,0.0
1988-03-18,5.25,0.0
1988-03-21,5.125,0.0
1988-03-22,5.0,0.0
1988-03-23,5.0,0.0
1988-03-24,5.0,0.0
1988-03-25,4.875,0.0
1988-03-28,4.625,0.0
1988-03-29,4.75,0.0
1988-03-30,4.8125,0.0
1988-03-31,4.875,0.0
1988-04-04,4.75,0.0
1988-04-05,4.75,0.0
1988-04-06,4.875,0.0
1988-04-07,4.75,0.0
1988-04-08,4.75,0.0
1988-04-11,4.9375,0.0
1988-04-12,5.0,0.0
1988-04-13,5.0,0.0
1988-04-14,5.0,0.0
1988-04-15,4.625,0.0
1988-04-18,4.75,0.0
1988-04-19,4.625,0.0
1988-04-20,4.75,0.0
1988-04-21,4.5,0.0
1988-04-22,4.5,0.0
1988-04-25,4.5,0.0
1988-04-26,4.5,0.0
1988-04-27,4.5,0.0
1988-04-28,4.5,0.0
1988-04-29,4.625,0.0
1988-05-02,4.5,0.0
1988-05-03,4.625,0.0
1988-05-04,4.625,0.0
1988-05-05,4.5,0.0
1988-05-06,4.5,0.0
1988-05-09,4.875,0.0
1988-05-10,4.875,0.0
1988-05-11,4.875,0.0
1988-05-12,4.75,0.0
1988-05-13,4.75,0.0
1988-05-16,4.75,0.0
1988-05-17,4.625,0.0
1988-05-18,4.75,0.0
1988-05-19,4.5,0.0
1988-05-20,4.625,0.0
1988-05-23,4.5625,0.0
1988-05-24,4.5,0.0
1988-05-25,4.5,0.0
1988-05-26,4.5,0.0
1988-05-27,4.625,0.0
1988-05-31,4.5,0.0
1988-06-01,4.375,0.0
1988-06-02,4.375,0.0
1988-06-03,4.375,0.0
1988-06-06,4.5,0.0
1988-06-07,4.375,0.0
1988-06-08,4.375,0.0
1988-06-09,4.125,0.0
1988-06-10,4.125,0.0
1988-06-13,3.875,0.0
1988-06-14,4.0,0.0
1988-06-15,3.875,0.0
